id,body,label
1065515,"정말 똥국 나온거야~~~  아무리 토왜 아들이라  애비처럼  불만이 많다지만,,,  똥국은  아니긋제~~~에라이",0
1065516,"좌파 정권이 친중친북 
찬양 하는데
나라 지키는 군인을 좋아 하겠냐?
이인영 부터 달창까지
언제든 38선 열고 내려 오라고 할 위인들임",0
1065517,남의 귀한 아들들 끌고 가서 저렇게 먹이나   한참 잘 먹을 나이인데... 군대보내기 싫다,0
1065518,국방비 다 어디 갔냐? 북괴군 지원 했나,0
1065519,정작 문재인 정부에서 군인 월급 가장 많이 인상해줌. 박그네 병장 월급 14만원 문정권 54만원. 입으로만 군인들 위하는 쓰레기 보수들,0
1065520,돈에미친 양키놈들에게  방위비뜯겨서 돈이없다 차라리 북한인민군주둔시키자,0
1065521,정부는 비축 고기좀 풀어줘라. 맨날 땅에 파뭍을생각 만 하지말고...,0
1065522,아니 80년대  군보다 더 개판으로  나오냐   이건 군  아니 문재인  정부가  썩어 빠졌다는 것은로  문정권이  군인들 사기 저하시키기 위해  하는짓거리  임에 틀림없다  80년대  같으면 군 대대장 사단장  국방장관  바로 책임 물었을 건데  책임은 고사하고  계숙적으로  반복되고 있으니 이것은 군을  개판으로 만들어 전쟁나면  싸우지도  않고 행복하게  만들려고 하는  짓거리임을 명심해야 합니다,0
1065523,장교식당에  저렇게 줘라,0
1065524,잡아 갔으면 먹는 거라도 잘 챙겨주시길 부탁드립니다.,0
1065525,이 정권은 북한을 상대로하는   군대를 싫어합니다,0
1065526,군대가 왜이렇게 되었는지.. 나라를 위해 밤낮 가리지 않고 희생하는 국군에게 이런대접을하다니..,0
1065527,"국방부장관을 짤라야 되지 않나?
아니면 국방부장관에게 저렇게 먹이든지.
무능.좌빨 국방장관 짤라라",0
1065528,빼돌리고 뇌물받고 뒷돈챙기고.. 한국의 개같은 관료들..,0
1065529,재앙 정권들어서면서 국군은 미움만 받고 있다...!!!,0
1065530,참 한심하다 35년 전에 논산에서 저런개밥은 안먹엇서,0
1065531,나라지키러간 군인에게 깜빵에 죄수보단 잘나와야하는것아닌가;; 진짜 충격이다..ㅠㅜ,0
1065532,조선땅남자가 그냥 죄인취급당하네 이러니 악질문화가 창궐하지,0
1065533,대통령 장관 장군들은 오늘도 맛있는거 먹었겠지?  이러다 임오군란꼴 나겠다.,0
1065534,국방장관도 드시라고...,0
1065535,청와대.국회.임마들 정신줄 놨구나 염불보다 젯밥만보이지? 당장 상화파악해서 조치하고 국민께 보고해라,0
1065536,아니 내가 93년도에 군대 다닐 때보다 못한 식단이 나온다는 게 말이되냐? 이게 뭐 하는 짓이야,0
1065537,돈을 벌려면 군대랑 거래하라는 말도 있고 군수품 심지어 보급품 갖고 뒷거래하는 껏들도 많다. 그만큼 옛날에는 외부와 차단된 채로 주는대로 받아먹는 문화가 군대다. 지금 군대는 멸치 한 마리에 100원 하려나?,0
1065538,범죄자들보다 못한 취급을 받는 강제징용당하는 남자들 복무기간동안이 사실상 범죄자들보다 못한 취급을 받으며 살아야하는것이 의무라며 괴롭히는 나라 강제징용 멈춰라 뭐가 의무냐 전쟁 포로마냥 대우하는게 의무냐?,0
1065539,밥은 왜 저렇노 ㅜ 청춘 바쳐갔드만 저래주면 되나 ㅡ ㅡ,0
1065540,한남이라 당했다 ㅋㅋ,0
1065541,"군인을 이렇게 하대하는 나라가 북한, 한국 말고 또 있을까",0
1065542,여성표 빨아쳐먹는다고 여야정치인들 여성우대정책에 국민예산을 마구마구 퍼붓고 살다보니 우리 20대남자들은 옛날이나 지금도 개사료 먹어가며 개처럼 훈련받고 나라지키잖아.. 거의 북한하고 똑같은 현실이지.. 남성인권 문제는 세계 최하위로 유엔이나 전세계에 알려야 합니다.. sos!!! 개처럼 부려먹고 한끼식사 2000원밖에 안되는 부실식사로 버티는 인신매매국가.. 한녀들아 남자등쳐먹고 사니 좋냐?ㅋㅋㅋㅋ,0
1065543,군인 경찰들은 대접좀 잘해줘라 이 미친나라야 군인은 자유민주주의 최후의 보루다,0
1065544,내년 문재인 깜빵 식단으로 강추,0
1065545,남은임기동안 내내. 재앙이도. 같은걸로주문 해줘~~,0
1065546,"처음엔 보안상, 군기상 문제로 스마트폰 부대반입 반대입장이었는데, 내가 잘 못 생각했다는 것을 알았다. 부대 내 스마트폰 반입은 이 정부 역사상 가장 잘한 정책이었다. 인정.",1
1065547,"밥은 제대로 먹여야지
이게뭡니까",0
1065548,도대체 어느나라의 대통령인가,0
1065549,세상 좋아졋네  보이스카웃이네 징징거리는거보니,0
1065550,문재인   군대여...,0
1065551,다 불살라버려야 정신 차릴려느,0
1065552,북한에 퍼주지나 말고 우리 아들들 밥이나 제대로 먹여라,0
1065553,임오군란이 머지 않았다,0
1065554,"30년전 우리부대 상사들 퇴근할때마다 소고기등 병사부식빼갈때도 먹을만했었는데 저부대는 왜 저모양이쥐?
사단장이 뒷돈  제대로 챙기는겨?",0
1065555,하루는 먹을수 있잖아,1
1065556,그냥 죽으라고 주는거 같은데?? ㅋㅋㅋ  강제 징병했으면 밥이라도 잘줘라,0
1065557,머슴도 저렇게는 안 먹이겠다,0
1065558,정말 차라리 교도소가 낫다. 이게 말이도냐? 대체  예산이 부족이냐? 이ㅣ디서 새는거냐? 똑바로 수사해라.,0
1065559,군수비리 조사해라... 창군이래 현재까지 계속?  지금이 당나라시대냐?   아직도 장병들 부식 빼돌리는 자들이 있나?,0
1065560,여성부 없애고 국군장병에게 제대로된 밥 줍시다.,1
1065561,니네 형제나라 따라하니? 징하다 진짜 아예 편의점 도시락을 계약해서 주던가 어떻게 다 빼돌리고 사리사욕챙기기만 한다냐,0
1065562,지금 시대에 군인 식사가 왜 저 모양이냐? 부식비를 누까 뚱가 묵나? 국방부 장관~.저런거 보고도 목구멍에 밥이 너어 가나?,0
1065563,대체 어떤 놈이 얼마나 중간에 가로챈겨? 식단가 문제 삼지마라. 일반기업은 대행업체 이익과 인건비 포함가다. 군대는 그런거 없잖아.,0
1065564,군발이들이   위에서  부터  식비를   챙겨서  그렇지 60 년대  쩍에  하든   짓꺼리가    지금도  하고 있는가   어찌,0
1065565,"교도소 반찬보다 군인 반찬이 부실한게 말이되나요ㅡㅡ
저거먹고 나라를 어떻게 지킴???",0
1065566,국방부도 미쳐 돌아가는건가??,0
1065567,우리나라국민이라면 의사간호사 경찰 군인 기자  공무원등등  아니다싶은거는 폭로해줘야합니다 그렇다구바뀌지는않습니다,1
1065568,장군들 책임.,0
1065569,그렇다고 첨단 무기나 턱없이 부족한 요격 미사일을 많이 사는 것도 아니고 늘어나는 국방비는 다 어디에 쓰는 걸까요? ㅠㅠ,0
1065570,차라리 컵라면먹는게 나을듯ㅋㅋ,0
1065571,페미 야이 ㄱHOOO 련들아,0
1065572,여기 댓글 단 분들 중 군필자 없나..... 밥을 퍼서 주는건 간부가 아니고 그걸간부가 신경쓸일도 아니고 백퍼 그날 취사지원 나간 병사. 더구나 저기가 신교대(신병교육대대)라면 훈련병이 밥퍼서 던진걸 껀데.....  기도안차네 거기서 저따위 농짓거리 하는 놈이나 저기서 저거 처먹는데 사진 올리는 놈이나....진짜 군대 존재이유가 뭔지는 아는건가...,0
1065573,"재난지원금 다쓰니 국군장병 식단이 이모양 이꼴이지""  받을때는 좋았지?  너거아들 군대에서 . . 먹는꼬라지 보거라. . 대깨문 들",0
1065574,해처먹은 넘   사형시켜라.,0
1065575,서욱국방장관 사퇴하라~,0
